"","INSTNM","CITY","STABBR","ZIP","HCM2","ST_FIPS","REGION","LOCALE","LOCALE2","LATITUDE","LONGITUDE","RELAFFIL","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT45_PRIV","NPT4_PROG","NPT4_OTHER","TUITIONFEE_IN","TUITIONFEE_OUT","PCTPELL"
"92","Pima Community College","Tucson","AZ","85709-1275",0,4,6,"11",NA,"32.222125","-110.886659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3409",NA,NA,NA,"2250","7566","0.3136"
"93","Pima Medical Institute-Tucson","Tucson","AZ","85712",0,4,6,"11",NA,"32.248067","-110.878783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5309"
"94","Pima Medical Institute-Albuquerque","Albuquerque","NM","87110",0,35,6,"11",NA,"35.104855","-106.59488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5674"
"95","Prescott College","Prescott","AZ","86301",0,4,6,"13",NA,"34.5452","-112.477185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28217",NA,NA,"34701","34701","0.4455"
"96","Refrigeration School Inc","Phoenix","AZ","85034-1816",0,4,6,"11",NA,"33.448692","-111.989357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26651",NA,NA,NA,NA,"0.604"
"97","Rio Salado College","Tempe","AZ","85281",0,4,6,"12",NA,"33.413309","-111.97417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9226",NA,NA,NA,"2070","7854","0.0936"
"98","Roberto-Venn School of Luthiery","Phoenix","AZ","85007",0,4,6,"11",NA,"33.45489","-112.086161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4"
"99","Scottsdale Community College","Scottsdale","AZ","85256",0,4,6,"41",NA,"33.51135","-111.885186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11286",NA,NA,NA,"2070","7854","0.1468"
"100","South Mountain Community College","Phoenix","AZ","85042",0,4,6,"11",NA,"33.382406","-112.032635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10040",NA,NA,NA,"2070","7854","0.3346"
"101","Arizona Christian University","Glendale","AZ","85306-3216",0,4,6,"21",NA,"33.622952","-112.181776","88","480","590","480","580",NA,NA,"535","530",NA,"16","23","14","22","16","23",NA,NA,"20","18","20",NA,"1043","1043",NA,"35042",NA,NA,"30624","30624","0.3924"
"102","Universal Technical Institute of Arizona Inc","Avondale","AZ","85323",0,4,6,"22",NA,"33.453005","-112.288123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28530",NA,NA,NA,NA,"0.4199"
"103","Yavapai College","Prescott","AZ","86301",0,4,6,"13",NA,"34.547495","-112.453395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7144",NA,NA,NA,"2600","9332","0.2729"
"104","University of Arkansas at Little Rock","Little Rock","AR","72204",0,5,5,"12",NA,"34.723254","-92.339778",NA,"520","590","500","590",NA,NA,"555","545",NA,"19","25","19","26","17","24",NA,NA,"22","23","21",NA,"1119","1119","15868",NA,NA,NA,"8366","18957","0.4255"
"105","University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199",0,5,5,"12",NA,"34.749048","-92.320046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.326"
"106","Arkansas Baptist College","Little Rock","AR","72202-6068",0,5,5,"12",NA,"34.734751","-92.290555","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17198",NA,NA,"8760","8760","0.6659"
"107","Arkansas Beauty School-Little Rock","Little Rock","AR","72209",0,5,5,"12",NA,"34.672171","-92.343366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6083"
"108","Arkansas Beauty College","Russellville","AR","72801",0,5,5,"33",NA,"35.27902","-93.135369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14115",NA,NA,NA,NA,"0.5811"
"109","Lyon College","Batesville","AR","72501",0,5,5,"33",NA,"35.777619","-91.625354","66","520","590","530","605",NA,NA,"555","568",NA,"21","26","20","26","19","26",NA,NA,"24","23","23",NA,"1163","1163",NA,"12560",NA,NA,"30414","30414","0.388"
"110","Arkansas Technical School","North Little Rock","AR","72114",0,5,5,"13",NA,"34.753843","-92.266429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7414"
"111","Arthur's Beauty College","Fort Smith","AR","72901-3342",0,5,5,"13",NA,"35.379955","-94.410967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7674"
"112","University of Arkansas","Fayetteville","AR","72701",0,5,5,"13",NA,"36.070009","-94.176981",NA,"530","620","520","600",NA,NA,"575","560",NA,"21","28","21","29","20","27",NA,NA,"25","25","24",NA,"1188","1188","14998",NA,NA,NA,"9574","26390","0.1795"
"113","University of Arkansas at Pine Bluff","Pine Bluff","AR","71601",0,5,5,"13",NA,"34.244031","-92.018683",NA,"420","508","390","508",NA,NA,"464","449",NA,"14","18","12","18","14","17",NA,NA,"16","15","16",NA,"902","902","10542",NA,NA,NA,"8398","15268","0.6984"
"114","Arkansas State University-Beebe","Beebe","AR","72012-1000",0,5,5,"31",NA,"35.074176","-91.895351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9708",NA,NA,NA,"2928","4656","0.3612"
"115","Arkansas State University","Jonesboro","AR","72401",0,5,5,"13",NA,"35.842388","-90.679988",NA,"510","590","520","610",NA,NA,"550","565",NA,"20","26","21","28","18","25",NA,NA,"23","25","22",NA,"1149","1149","13430",NA,NA,NA,"7130","12698","0.367"
"116","Arkansas Tech University","Russellville","AR","72801-2222",0,5,5,"33",NA,"35.293237","-93.13562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12191",NA,NA,NA,"7900","13636","0.3553"
"117","University of Arkansas at Monticello","Monticello","AR","71656",0,5,5,"33",NA,"33.590909","-91.811153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12907",NA,NA,NA,"8029","13879","0.5157"
"118","Arthur's Beauty College","Jacksonville","AR","72076",0,5,5,"21",NA,"34.891572","-92.102579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7297"
"119","Baptist Health College Little Rock","Little Rock","AR","72210-2827",0,5,5,"12",NA,"34.713115","-92.40692","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12598","12598","0.888"
"120","Black River Technical College","Pocahontas","AR","72455",0,5,5,"41",NA,"36.239793","-90.951033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8204",NA,NA,NA,"4118","6350","0.4985"
"121","University of Central Arkansas","Conway","AR","72035-0001",0,5,5,"13",NA,"35.077945","-92.457672",NA,"500","600","480","560",NA,NA,"550","520",NA,"19","26","20","28","17","25",NA,NA,"23","24","21",NA,"1133","1133","14735",NA,NA,NA,"9563","16433","0.3658"
"122","Central Baptist College","Conway","AR","72034",0,5,5,"13",NA,"35.083838","-92.445021","54","450","588","453","548",NA,NA,"519","501",NA,"18","23","17","23","16","24",NA,NA,"21","20","20",NA,"1059","1059",NA,"26905",NA,NA,"17400","17400","0.4768"
"123","Cossatot Community College of the University of Arkansas","De Queen","AR","71832",0,5,5,"41",NA,"34.043389","-94.3673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5172",NA,NA,NA,"3570","4410","0.3463"
"124","Crowley's Ridge College","Paragould","AR","72450",0,5,5,"41",NA,"36.064845","-90.584395","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14663",NA,NA,"15250","15250","0.5812"
"125","East Arkansas Community College","Forrest City","AR","72335-2204",0,5,5,"32",NA,"35.041655","-90.767726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7290",NA,NA,NA,"2820","3720","0.5107"
"126","Eastern College of Health Vocations-Little Rock","Little Rock","AR","72205",0,5,5,"12",NA,"34.75128","-92.341891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.696"
"127","Paul Mitchell the School-Little Rock","North Little Rock","AR","72117",0,5,5,"13",NA,"34.789913","-92.222202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27194",NA,NA,NA,NA,"0.675"
"128","National Park College","Hot Springs","AR","71913",0,5,5,"23",NA,"34.512687","-93.119248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8759",NA,NA,NA,"4550","6230","0.7466"
"129","University of Arkansas Community College-Batesville","Batesville","AR","72503-3350",0,5,5,"33",NA,"35.792923","-91.615852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7884",NA,NA,NA,"2526","3438","0.4273"
"130","Harding University","Searcy","AR","72149-5615",0,5,5,"32",NA,"35.247386","-91.726143","74","530","660","520","640",NA,NA,"595","580",NA,"20","28","21","31","18","27",NA,NA,"24","26","23",NA,"1183","1183",NA,"23330",NA,NA,"22230","22230","0.2128"
"131","Henderson State University","Arkadelphia","AR","71999-0001",0,5,5,"32",NA,"34.128155","-93.059703",NA,"470","583","508","568",NA,NA,"527","538",NA,"18","24","18","25","17","24",NA,NA,"21","22","21",NA,"1084","1084","16696",NA,NA,NA,"7560","9768","0.4638"
"132","Hendrix College","Conway","AR","72032-3080",0,5,5,"13",NA,"35.101565","-92.443256","71","560","680","530","660",NA,NA,"620","595",NA,"24","31","23","34","22","27",NA,NA,"28","29","25",NA,"1286","1286",NA,"15043",NA,NA,"33350","33350","0.2863"
"133","Hot Springs Beauty College","Hot Springs","AR","71901",0,5,5,"13",NA,"34.496057","-93.037277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7417"
"134","Jefferson Regional School of Nursing","Pine Bluff","AR","71603",0,5,5,"13",NA,"34.187831","-92.018045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4124"
"135","John Brown University","Siloam Springs","AR","72761",0,5,5,"32",NA,"36.189812","-94.560283",NA,"560","655","540","665",NA,NA,"608","603",NA,"22","29","20","27","22","31",NA,NA,"26","24","27",NA,"1231","1231",NA,"21508",NA,NA,"28924","28924","0.2489"
"136","Career Academy of Hair Design","Springdale","AR","72764-7128",0,5,5,"13",NA,"36.167605","-94.12947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6787"
"137","Academy of Salon and Spa","Fort Smith","AR","72901",0,5,5,"13",NA,"35.38097","-94.41616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5978"
"138","Arkansas State University Mid-South","West Memphis","AR","72301-3829",0,5,5,"21",NA,"35.145736","-90.22285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8814",NA,NA,NA,"2746","4186","0.3325"
"139","Arkansas Northeastern College","Blytheville","AR","72316-1109",0,5,5,"41",NA,"35.898597","-89.921005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4117",NA,NA,NA,"2458","4138","0.3461"
"140","New Tyler Barber College Inc","North Little Rock","AR","72114-4973",0,5,5,"13",NA,"34.760085","-92.254171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5833"
"141","North Arkansas College","Harrison","AR","72601-5508",0,5,5,"33",NA,"36.219909","-93.08844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9786",NA,NA,NA,"3090","5940","0.4414"
"142","Northwest Technical Institute","Springdale","AR","72764",0,5,5,"13",NA,"36.178032","-94.115346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12673",NA,NA,NA,"4450","4450","0.5323"
"143","Ouachita Baptist University","Arkadelphia","AR","71998-0001",0,5,5,"32",NA,"34.126093","-93.052471","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22821",NA,NA,"30140","30140","0.2428"
"144","Arkansas State University Three Rivers","Malvern","AR","72104-0816",0,5,5,"31",NA,"34.378745","-92.821416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3716",NA,NA,NA,"3458","5882","0.2212"
"145","Ozarka College","Melbourne","AR","72556-0010",0,5,5,"43",NA,"36.053031","-91.896355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4901",NA,NA,NA,"3004","5356","0.5508"
"146","University of the Ozarks","Clarksville","AR","72830",0,5,5,"33",NA,"35.476278","-93.467221","66","490","550","460","580",NA,NA,"520","520",NA,"18","23","17","23","17","23",NA,NA,"21","20","20",NA,"1061","1061",NA,"20314",NA,NA,"24950","24950","0.3541"
"147","University of Arkansas Community College-Morrilton","Morrilton","AR","72110",0,5,5,"32",NA,"35.172136","-92.728507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7391",NA,NA,NA,"3216","4128","0.4728"
"148","Philander Smith College","Little Rock","AR","72202-3799",0,5,5,"12",NA,"34.737131","-92.283015","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21710",NA,NA,"13014","13014","0.7547"
"149","Phillips Community College of the University of Arkansas","Helena","AR","72342-0785",0,5,5,"41",NA,"34.546155","-90.616884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4078",NA,NA,NA,"3020","4910","0.3947"
"150","Southeast Arkansas College","Pine Bluff","AR","71603",0,5,5,"13",NA,"34.210309","-92.025936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7662",NA,NA,NA,"3855","6735","0.6316"
"151","Professional Cosmetology Education Center","El Dorado","AR","71730-4009",0,5,5,"33",NA,"33.216032","-92.664101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5574"
"152","University of Arkansas-Pulaski Technical College","North Little Rock","AR","72118-3347",0,5,5,"13",NA,"34.782783","-92.299184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12959",NA,NA,NA,"5670","6900","0.5023"
"153","University of Arkansas Hope-Texarkana","Hope","AR","71801",0,5,5,"32",NA,"33.641665","-93.596762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6084",NA,NA,NA,"3070","4390","0.4387"
"154","University of Arkansas Community College Rich Mountain","Mena","AR","71953",0,5,5,"33",NA,"34.591449","-94.219799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4926",NA,NA,NA,"3240","3816","0.4486"
"155","Paul Mitchell the School-Arkansas","Fayetteville","AR","72703",0,5,5,"13",NA,"36.126373","-94.153892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17199",NA,NA,NA,NA,"0.4208"
"156","Searcy Beauty College","Searcy","AR","72143",0,5,5,"32",NA,"35.239148","-91.735135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5965"
"157","Shorter College","N Little Rock","AR","72114",0,5,5,"13",NA,"34.75933","-92.261331","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5596","5596","0.8386"
"158","Williams Baptist University","Walnut Ridge","AR","72476",0,5,5,"42",NA,"36.125676","-90.940277","75","400","590","435","520",NA,NA,"495","478",NA,"19","24","19","25","17","23",NA,NA,"22","22","20",NA,"1100","1100",NA,"16966",NA,NA,"18570","18570","0.5094"
"159","South Arkansas Community College","El Dorado","AR","71731-7010",0,5,5,"33",NA,"33.209446","-92.666087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7312",NA,NA,NA,"2700","4812","0.4105"
"160","Southern Arkansas University Main Campus","Magnolia","AR","71753",0,5,5,"33",NA,"33.291618","-93.235922",NA,"460","570","470","570",NA,NA,"515","520",NA,"18","25","17","24","16","24",NA,NA,"22","21","20",NA,"1094","1094","15873",NA,NA,NA,"9410","14630","0.4505"
"161","Southern Arkansas University Tech","Camden","AR","71701-1906",0,5,5,"42",NA,"33.628367","-92.721629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7639",NA,NA,NA,"4420","6210","0.5579"
"162","Velvatex College of Beauty Culture","Little Rock","AR","72202-5452",0,5,5,"12",NA,"34.735685","-92.289597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5714"
"163","University of Arkansas-Fort Smith","Fort Smith","AR","72913-3649",0,5,5,"13",NA,"35.384184","-94.373729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9336",NA,NA,NA,"5754","13026","0.4137"
"164","Academy of Art University","San Francisco","CA","94105",0,6,8,"11",NA,"37.787943","-122.400578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38552",NA,NA,"25424","25424","0.4019"
"165","Academy of Chinese Culture and Health Sciences","Oakland","CA","94612",0,6,8,"11",NA,"37.805972","-122.269839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","College of Alameda","Alameda","CA","94501",0,6,8,"21",NA,"37.781017","-122.279303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7530",NA,NA,NA,"1148","8684","0.119"
"167","Allan Hancock College","Santa Maria","CA","93454-6399",0,6,8,"12",NA,"34.943716","-120.421144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3234",NA,NA,NA,"1146","7842","0.2293"
"168","American Academy of Dramatic Arts-Los Angeles","Los Angeles","CA","90028",0,6,8,"11",NA,"34.095378","-118.343701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38804",NA,NA,"37230","37230","0.3208"
"169","Berkeley School of Theology","Berkeley","CA","94704-3029",0,6,8,"12",NA,"37.865252","-122.256149","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","American Film Institute Conservatory","Los Angeles","CA","90027-1625",0,6,8,"11",NA,"34.10767","-118.310018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","American Beauty College","West Covina","CA","91790",0,6,8,"21",NA,"34.069367","-117.936959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16202",NA,NA,NA,NA,"0.5048"
"172","American Career College-Los Angeles","Los Angeles","CA","90004",0,6,8,"11",NA,"34.079323","-118.292481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31923",NA,NA,NA,NA,"0.6481"
"173","American Conservatory Theater","San Francisco","CA","94102",0,6,8,"11",NA,"37.786923","-122.410265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30800","30800",NA
"174","American River College","Sacramento","CA","95841-4286",0,6,8,"21",NA,"38.65085","-121.349672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6039",NA,NA,NA,"1288","10168","0.2486"
"175","Antelope Valley Community College District","Lancaster","CA","93536-5426",0,6,8,"21",NA,"34.676207","-118.186166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3524",NA,NA,NA,"1124","6980","0.3682"
"176","Art Center College of Design","Pasadena","CA","91103",0,6,8,"12",NA,"34.169031","-118.185102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55509",NA,NA,"48044","48044","0.3007"
"177","Associated Technical College-Los Angeles","Los Angeles","CA","90017-1604",0,6,8,"11",NA,"34.056102","-118.272364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.72"
"178","Associated Technical College-San Diego","San Diego","CA","92108-1630",0,6,8,"11",NA,"32.773178","-117.135196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9583"
"179","Azusa Pacific University","Azusa","CA","91702-7000",0,6,8,"21",NA,"34.130047","-117.888375","88","493","628","473","638",NA,NA,"561","556",NA,"19","25","19","25","16","25",NA,NA,"22","22","21",NA,"1117","1117",NA,"32463",NA,NA,"41510","41510","0.3312"
"180","Bakersfield College","Bakersfield","CA","93305-1299",0,6,8,"11",NA,"35.40911","-118.973753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5223",NA,NA,NA,"1430","9380","0.2842"
"181","Barstow Community College","Barstow","CA","92311",0,6,8,"32",NA,"34.870285","-117.023412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9250",NA,NA,NA,"1104","8952","0.4861"
"182","Bellus Academy-Chula Vista","Chula Vista","CA","91911",0,6,8,"11",NA,"32.614773","-117.083738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.665"
"183","Bethesda University","Anaheim","CA","92801",0,6,8,"11",NA,"33.842295","-117.941323","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19754",NA,NA,"6560","6560","0.2702"
"184","Biola University","La Mirada","CA","90639-0001",0,6,8,"21",NA,"33.906203","-118.014374","88","563","688","540","660",NA,NA,"626","600",NA,"22","29","22","31","20","27",NA,NA,"26","27","24",NA,"1228","1228",NA,"32942",NA,NA,"44382","44382","0.2736"
